depth_m,filename,frame_no
60.4,'01747001,0
113.0,'01747001,10080
113.0,'01747001,10185
113.0,'01747001,10290
113.0,'01747001,10395
62.3,'01747001,105
73.7,'01747001,1050
112.0,'01747001,10500
112.0,'01747001,10605
112.0,'01747001,10710
112.0,'01747001,10815
112.0,'01747001,10920
112.0,'01747001,11025
112.0,'01747001,11130
112.0,'01747001,11235
111.0,'01747001,11340
111.0,'01747001,11445
76.5,'01747001,1155
111.0,'01747001,11550
111.0,'01747001,11655
110.0,'01747001,11760
110.0,'01747001,11865
110.0,'01747001,11970
109.0,'01747001,12075
109.0,'01747001,12180
108.0,'01747001,12285
108.3,'01747001,12390
108.0,'01747001,12495
79.5,'01747001,1260
108.0,'01747001,12600
107.0,'01747001,12705
107.0,'01747001,12810
107.0,'01747001,12915
106.3,'01747001,13020
106.3,'01747001,13125
106.0,'01747001,13230
106.3,'01747001,13335
106.3,'01747001,13440
106.0,'01747001,13545
81.7,'01747001,1365
106.0,'01747001,13650
105.0,'01747001,13755
105.0,'01747001,13860
105.0,'01747001,13965
105.0,'01747001,14070
104.5,'01747001,14175
104.0,'01747001,14280
103.0,'01747001,14385
103.0,'01747001,14490
102.0,'01747001,14595
84.5,'01747001,1470
102.0,'01747001,14700
101.3,'01747001,14805
100.0,'01747001,14910
100.0,'01747001,15015
99.6,'01747001,15120
99.5,'01747001,15225
98.9,'01747001,15330
98.3,'01747001,15435
97.4,'01747001,15540
97.4,'01747001,15645
86.6,'01747001,1575
96.5,'01747001,15750
95.7,'01747001,15855
95.3,'01747001,15960
94.9,'01747001,16065
93.8,'01747001,16170
94.0,'01747001,16275
93.9,'01747001,16380
93.1,'01747001,16485
93.1,'01747001,16590
93.2,'01747001,16695
89.1,'01747001,1680
93.2,'01747001,16800
93.2,'01747001,16905
93.2,'01747001,17010
93.2,'01747001,17115
93.2,'01747001,17220
93.2,'01747001,17325
93.1,'01747001,17430
91.5,'01747001,1785
93.4,'01747001,1890
95.8,'01747001,1995
63.3,'01747001,210
97.9,'01747001,2100
99.7,'01747001,2205
101.0,'01747001,2310
103.0,'01747001,2415
105.0,'01747001,2520
107.0,'01747001,2625
109.0,'01747001,2730
111.0,'01747001,2835
113.0,'01747001,2940
114.3,'01747001,3045
64.3,'01747001,315
116.0,'01747001,3150
116.0,'01747001,3255
117.0,'01747001,3360
117.0,'01747001,3465
117.0,'01747001,3570
117.0,'01747001,3675
117.0,'01747001,3780
117.0,'01747001,3885
117.0,'01747001,3990
117.0,'01747001,4095
65.2,'01747001,420
118.0,'01747001,4200
117.0,'01747001,4305
117.0,'01747001,4410
118.0,'01747001,4515
118.0,'01747001,4620
118.0,'01747001,4725
118.0,'01747001,4830
118.0,'01747001,4935
118.0,'01747001,5040
117.0,'01747001,5145
65.9,'01747001,525
118.0,'01747001,5250
117.0,'01747001,5355
117.0,'01747001,5460
117.0,'01747001,5565
